observation_date,GPSAVE
1980-01-01,592.430
1980-04-01,618.495
1980-07-01,641.535
1980-10-01,673.595
1981-01-01,686.081
1981-04-01,703.824
1981-07-01,766.892
1981-10-01,791.916
1982-01-01,781.102
1982-04-01,811.086
1982-07-01,815.840
1982-10-01,790.253
1983-01-01,810.153
1983-04-01,801.361
1983-07-01,811.244
1983-10-01,851.462
1984-01-01,908.637
1984-04-01,930.026
1984-07-01,964.751
1984-10-01,970.950
1985-01-01,919.739
1985-04-01,967.092
1985-07-01,925.646
1985-10-01,943.814
1986-01-01,950.980
1986-04-01,951.530
1986-07-01,918.643
1986-10-01,902.459
1987-01-01,953.930
1987-04-01,914.833
1987-07-01,966.994
1987-10-01,1024.804
1988-01-01,1038.149
1988-04-01,1067.883
1988-07-01,1079.072
1988-10-01,1100.853
1989-01-01,1110.016
1989-04-01,1092.191
1989-07-01,1095.288
1989-10-01,1102.587
1990-01-01,1130.600
1990-04-01,1176.992
1990-07-01,1142.032
1990-10-01,1162.289
1991-01-01,1233.378
1991-04-01,1240.137
1991-07-01,1241.870
1991-10-01,1289.488
1992-01-01,1332.624
1992-04-01,1356.959
1992-07-01,1328.346
1992-10-01,1327.072
1993-01-01,1328.363
1993-04-01,1328.917
1993-07-01,1312.466
1993-10-01,1329.359
1994-01-01,1338.609
1994-04-01,1370.342
1994-07-01,1387.187
1994-10-01,1434.131
1995-01-01,1477.382
1995-04-01,1480.284
1995-07-01,1514.121
1995-10-01,1522.013
1996-01-01,1557.680
1996-04-01,1554.216
1996-07-01,1573.197
1996-10-01,1584.445
1997-01-01,1617.854
1997-04-01,1667.383
1997-07-01,1674.132
1997-10-01,1699.375
1998-01-01,1707.949
1998-04-01,1705.958
1998-07-01,1714.713
1998-10-01,1685.314
1999-01-01,1775.788
1999-04-01,1701.679
1999-07-01,1680.739
1999-10-01,1689.930
2000-01-01,1699.983
2000-04-01,1723.755
2000-07-01,1760.037
2000-10-01,1729.137
2001-01-01,1824.719
2001-04-01,1871.755
2001-07-01,2028.167
2001-10-01,1831.288
2002-01-01,2085.823
2002-04-01,2148.258
2002-07-01,2151.302
2002-10-01,2236.973
2003-01-01,2183.834
2003-04-01,2247.609
2003-07-01,2314.259
2003-10-01,2294.749
2004-01-01,2343.661
2004-04-01,2396.991
2004-07-01,2419.934
2004-10-01,2344.884
2005-01-01,2351.882
2005-04-01,2375.756
2005-07-01,2388.463
2005-10-01,2495.296
2006-01-01,2594.235
2006-04-01,2580.027
2006-07-01,2570.965
2006-10-01,2566.408
2007-01-01,2490.435
2007-04-01,2558.154
2007-07-01,2490.170
2007-10-01,2467.629
2008-01-01,2464.337
2008-04-01,2709.892
2008-07-01,2666.786
2008-10-01,2685.999
2009-01-01,2975.117
2009-04-01,3158.041
2009-07-01,3156.022
2009-10-01,3272.610
2010-01-01,3366.711
2010-04-01,3443.200
2010-07-01,3549.560
2010-10-01,3524.161
2011-01-01,3431.883
2011-04-01,3529.442
2011-07-01,3602.042
2011-10-01,3705.276
2012-01-01,3836.683
2012-04-01,3874.743
2012-07-01,3755.744
2012-10-01,3877.991
2013-01-01,3563.270
2013-04-01,3396.903
2013-07-01,3613.169
2013-10-01,3481.443
2014-01-01,3556.725
2014-04-01,3740.923
2014-07-01,3860.709
2014-10-01,3879.209
2015-01-01,3907.373
2015-04-01,3872.731
2015-07-01,3834.644
2015-10-01,3732.215
2016-01-01,3888.150
2016-04-01,3799.127
2016-07-01,3809.284
2016-10-01,3905.991
2017-01-01,4030.545
2017-04-01,4086.400
2017-07-01,4160.932
2017-10-01,4181.904
2018-01-01,4328.095
2018-04-01,4444.160
2018-07-01,4519.993
2018-10-01,4634.830
2019-01-01,4896.281
2019-04-01,4782.749
2019-07-01,4796.283
2019-10-01,4785.299
2020-01-01,4961.908
2020-04-01,7761.242
2020-07-01,6602.546
2020-10-01,5776.798
2021-01-01,7808.593
2021-04-01,5911.094
2021-07-01,5556.200
2021-10-01,5248.781
2022-01-01,4726.536
2022-04-01,4766.406
2022-07-01,5112.178
2022-10-01,5176.613
2023-01-01,5661.136
2023-04-01,5772.043
2023-07-01,5830.172
2023-10-01,5974.542
2024-01-01,6037.655
2024-04-01,6104.849
2024-07-01,6009.578
2024-10-01,6175.325
2025-01-01,6272.455
2025-04-01,6296.153
2025-07-01,6420.825
